Energy [eV],W Capture [b]
6.677644,3.623655
6.788822,3.949927
6.844411,4.170991
6.9,4.444538
6.950971,4.756095
7.001941,5.147387
7.052911,5.648354
7.103881,6.301294
7.154851,7.17253
7.180336,7.720844
7.205821,8.367856
7.231306,9.13917
7.256791,10.07103
7.282276,11.21443
7.307761,12.64064
7.328184,14.05503
7.348607,15.79055
7.36903,17.95473
7.389452,20.70757
7.399664,22.37757
7.409875,24.29746
7.420086,26.52267
7.430297,29.12495
7.440509,32.19876
7.45072,35.86808
7.460931,40.29894
7.471142,45.71183
7.48263,53.34125
7.488374,57.92594
7.494118,63.13143
7.499862,69.05131
7.505606,75.78945
7.51135,83.45906
7.517093,92.17922
7.522837,102.0783
7.528581,113.2807
7.534325,125.9069
7.540069,140.0655
7.545813,155.8444
7.551557,173.3012
7.563044,213.264
7.57693,269.7255
7.590816,332.1059
7.604702,394.7825
7.618588,450.1691
7.626441,475.1717
7.634294,493.9296
7.642147,505.4196
7.65,508.9989
7.654488,507.3968
7.661169,500.1713
7.66785,487.4414
7.681212,447.7218
7.694574,394.2281
7.707936,334.1343
7.724463,260.5479
7.732726,226.7929
7.740989,196.0478
7.749252,168.667
7.757515,144.7458
7.765778,124.1795
7.774041,106.7241
7.781754,92.95066
7.789466,81.31117
7.797179,71.50709
7.804891,63.26136
7.812604,56.31866
7.820316,50.45912
7.828028,45.49266
7.83574,41.2611
7.843453,37.63364
7.851165,34.50488
7.858877,31.78818
7.866589,29.41402
7.882014,25.47943
7.897438,22.3691
7.912863,19.86178
7.928288,17.80741
7.943713,16.10091
7.959137,14.66685
7.974562,13.44943
7.989986,12.40695
8.005411,11.50715
8.020835,10.72506
8.051685,9.438094
8.082534,8.429325
8.113383,7.622483
8.144232,6.967044
8.170674,6.498929
8.197116,6.099853
8.25,5.461037
8.286609,5.114005
8.323218,4.825926
8.396435,4.376541
8.469652,4.045139
8.542869,3.797364
8.616087,3.609283
8.689304,3.466538
8.835738,3.267802
8.982173,3.143222
9.128607,3.07047
9.421475,3.014513
9.710738,3.029401
10,3.090561
10.5,3.271308
11,3.530544
11.5,3.865015
12,4.290709
12.33269,4.637236
12.66538,5.041474
12.99807,5.519247
13.33075,6.088298
13.66344,6.768619
13.99613,7.589024
14.32882,8.592054
14.49516,9.180328
14.6615,9.841296
14.83075,10.59843
15,11.45691
15.23623,12.86024
15.47245,14.56231
15.70868,16.65514
15.82679,17.89153
15.9449,19.27507
16.06302,20.84072
16.18113,22.61874
16.29924,24.64084
16.41735,26.96783
16.53546,29.6272
16.65357,32.75129
16.77168,36.42891
16.88979,40.791
16.99111,45.1899
17.09243,50.3447
17.19375,56.52167
17.29507,63.9668
17.39639,73.03816
17.49771,84.24879
17.54837,90.87401
17.59903,98.33207
17.64969,106.7691
17.70035,116.3647
17.76368,130.3333
17.82701,147.0191
17.89034,167.1425
17.95366,191.6781
18.01699,222.1032
18.04865,240.1612
18.08031,260.5539
18.11198,283.6957
18.14364,310.0692
18.1753,340.2983
18.20696,375.1543
18.24918,430.5489
18.2914,498.978
18.33362,584.6681
18.35473,635.7468
18.37583,693.4886
18.39694,759.0589
18.41805,833.7452
18.43916,919.0945
18.46026,1.02E+03
18.48137,1.13E+03
18.50248,1.26E+03
18.52359,1.41E+03
18.54469,1.58E+03
18.57273,1.84E+03
18.60077,2.15E+03
18.62881,2.50E+03
18.65685,2.89E+03
18.71293,3.68E+03
18.74097,4.02E+03
18.769,4.27E+03
18.7895,4.38E+03
18.81,4.41E+03
18.83375,4.35E+03
18.8575,4.20E+03
18.88125,3.97E+03
18.905,3.67E+03
19,2.35E+03
19.03516,1.93E+03
19.05274,1.75E+03
19.07032,1.59E+03
19.0879,1.44E+03
19.10548,1.31E+03
19.12306,1.20E+03
19.14063,1.10E+03
19.15821,1.00E+03
19.17579,921.4591
19.21094,783.2994
19.2461,672.5633
19.28125,583.0308
19.3086,524.91
19.33594,474.9709
19.36329,431.7825
19.39063,394.2571
19.41798,361.4636
19.44532,332.6913
19.5,284.8528
19.53125,262.1827
19.5625,242.2336
19.625,208.9277
19.6875,182.5238
19.75,161.3903
19.8125,144.3512
19.875,130.5552
19.9375,119.3906
20,110.4199
20.08204,101.4747
20.16407,95.37709
20.2461,92.00062
20.32813,91.5218
20.37325,92.67823
20.41837,95.04398
20.46349,98.88826
20.5086,104.6236
20.55372,112.8738
20.59884,124.5843
20.6214,132.1783
20.64396,141.2741
20.66652,152.235
20.68907,165.5484
20.71573,185.2857
20.74239,210.9814
20.75572,226.8436
20.76905,245.305
20.78238,266.9633
20.79571,292.5838
20.80904,323.1436
20.82237,359.8818
20.8357,404.3511
20.84903,458.4631
20.86236,524.5163
20.87569,605.1901
20.88902,703.4848
20.90235,822.5863
20.91466,953.7783
20.92696,1.11E+03
20.93927,1.29E+03
20.95157,1.49E+03
20.96388,1.72E+03
20.97618,1.97E+03
21.00079,2.51E+03
21.02247,3.01E+03
21.04415,3.47E+03
21.06583,3.83E+03
21.07667,3.95E+03
21.0875,4.02E+03
21.1,4.05E+03
21.11807,3.98E+03
21.13614,3.79E+03
21.15421,3.48E+03
21.17227,3.11E+03
21.21681,2.10E+03
21.23908,1.64E+03
21.25021,1.44E+03
21.26134,1.26E+03
21.27109,1.12E+03
21.28083,992.1472
21.29057,880.6205
21.30031,782.5597
21.31005,696.8216
21.31979,622.1842
21.32953,557.412
21.33927,501.3064
21.34901,452.7407
21.35875,410.6825
21.36849,374.2052
21.37823,342.4919
21.38797,314.8324
21.39771,290.6166
21.41719,250.5196
21.43668,218.9378
21.45616,193.6206
21.47564,172.9556
21.49512,155.8229
21.51461,141.4181
21.53409,129.1769
21.55357,118.6623
21.57305,109.5501
21.61202,94.58405
21.65098,82.85957
21.68995,73.45925
21.72891,65.78532
21.77066,59.00958
21.81241,53.3855
21.85416,48.65742
21.89591,44.63766
21.93766,41.18657
21.97941,38.19852
22.0629,33.29664
22.1464,29.43806
22.22989,26.32106
22.31339,23.76188
22.39688,21.63
22.49708,19.50183
22.59727,17.73452
22.69747,16.25047
22.79766,14.99582
22.99805,12.94849
23.19844,11.37235
23.39883,10.13715
23.59922,9.154166
23.79961,8.365751
24,7.731729
24.25884,7.110279
24.51767,6.676346
24.77651,6.425096
25.03534,6.374011
25.16254,6.437051
25.28974,6.572052
25.41694,6.794827
25.54413,7.124421
25.67133,7.593027
25.79853,8.270855
25.92573,9.23849
25.98933,9.870659
26.05292,10.63183
26.12231,11.64793
26.19169,12.91947
26.26107,14.5401
26.33045,16.6422
26.36514,17.93218
26.39983,19.42488
26.43452,21.16407
26.46921,23.2062
26.5039,25.62542
26.53859,28.52143
26.57328,32.03167
26.60797,36.35034
26.63977,41.25756
26.67157,47.39623
26.70337,55.24067
26.71927,60.01855
26.73517,65.52926
26.75107,71.9375
26.76697,79.45527
26.78287,88.3559
26.79877,98.99095
26.81467,111.8091
26.83057,127.3757
26.84647,146.389
26.86237,169.6893
26.87827,198.2527
26.89417,233.1615
26.91007,275.543
26.92597,326.4684
26.94187,386.8101
26.95777,457.0614
26.97367,537.1339
26.98957,626.1597
27.03376,901.7289
27.05585,1.04E+03
27.07794,1.15E+03
27.09096,1.21E+03
27.10397,1.25E+03
27.11699,1.27E+03
27.13,1.28E+03
27.14293,1.27E+03
27.15586,1.24E+03
27.16879,1.20E+03
27.18171,1.15E+03
27.20757,1.01E+03
27.23342,851.0849
27.26362,662.2363
27.27872,574.8006
27.29381,494.8558
27.30891,423.3832
27.324,360.8705
27.3391,307.0737
27.35419,261.505
27.36723,228.1056
27.38027,199.6215
27.39331,175.4359
27.40634,154.9647
27.41938,137.6209
27.43242,122.922
27.44546,110.4314
27.45849,99.7832
27.47153,90.64682
27.48457,82.77014
27.49761,75.93861
27.51064,69.98125
27.53671,60.12644
27.56278,52.35636
27.58886,46.10269
27.61493,40.9855
27.64101,36.73267
27.66708,33.15582
27.69316,30.11181
27.71923,27.4983
27.7453,25.23455
27.77137,23.25931
27.82352,19.99187
27.87567,17.41739
27.92782,15.35102
27.97996,13.66622
28.02937,12.34028
28.07877,11.22181
28.12818,10.26909
28.17758,9.450235
28.22699,8.739386
28.27639,8.117249
28.37519,7.083708
28.474,6.266234
28.5728,5.608114
28.67161,5.069294
28.77041,4.621866
28.92411,4.063832
29.07781,3.627262
29.23151,3.27278
29.38521,2.982479
29.53891,2.741145
29.69261,2.537607
29.84631,2.363823
30,2.214664
30.29112,1.980836
30.58224,1.795839
30.87336,1.644965
31.16447,1.51947
31.45559,1.412142
31.74671,1.321511
32.32894,1.176226
32.91118,1.065189
33.49341,0.978713
34.07564,0.913298
34.65787,0.860154
35.24341,0.821927
35.82894,0.795167
36.41447,0.778869
37,0.773783
37.68222,0.787796
38.02333,0.804601
38.36443,0.831116
38.70554,0.872096
39.04664,0.932954
39.2172,0.979412
39.38775,1.042222
39.5583,1.134709
39.64358,1.198843
39.72885,1.281254
39.79416,1.361951
39.85947,1.46483
39.92478,1.600327
39.99009,1.785806
40.03255,1.947246
40.075,2.157877
40.09623,2.289325
40.11745,2.444494
40.13868,2.630792
40.1599,2.858466
40.18113,3.142891
40.20235,3.505884
