Energy [eV],W Capture [b]
334.5516,0.150183
334.6604,0.167771
334.7149,0.179496
334.7693,0.194182
334.8237,0.213148
334.8781,0.238359
334.9054,0.254236
334.9326,0.272816
334.9598,0.29473
334.987,0.32067
335.0142,0.35145
335.0414,0.388027
335.0686,0.431508
335.0958,0.483164
335.1231,0.544679
335.1503,0.617222
335.1775,0.702779
335.2047,0.803284
335.2319,0.920804
335.2591,1.057504
335.2863,1.215602
335.3135,1.397306
335.3498,1.680246
335.3861,2.013574
335.4224,2.400916
335.4586,2.843201
335.4913,3.291148
335.5239,3.782152
335.5892,4.884853
335.7198,7.357701
335.7888,8.606627
335.8578,9.641696
335.8977,10.09143
335.9375,10.40579
336,10.59682
336.006,10.59487
336.0238,10.56802
336.0415,10.51033
336.077,10.30391
336.1204,9.897355
336.1637,9.343356
336.2331,8.219137
336.3024,6.926371
336.3775,5.491401
336.4526,4.160401
336.4902,3.564512
336.5277,3.026846
336.5653,2.547794
336.6028,2.130341
336.6433,1.744971
336.6837,1.423796
336.704,1.284369
336.7242,1.159071
336.7444,1.04629
336.7646,0.945119
336.7849,0.85423
336.8051,0.773622
336.8253,0.701957
336.8455,0.638402
336.8658,0.581905
336.886,0.532275
336.9062,0.48852
336.9264,0.449998
336.9669,0.386196
337.0073,0.337056
337.0478,0.298968
337.0882,0.269456
337.1287,0.246293
337.1691,0.228007
337.2096,0.213307
337.25,0.201377
337.3252,0.184323
337.4003,0.171799
337.4754,0.16221
337.5505,0.15465
337.7007,0.143624
337.8509,0.136238
338.0012,0.131277
338.1514,0.128071
338.4518,0.125436
338.7292,0.126359
339.0066,0.129913
339.284,0.136083
339.5613,0.145462
339.8387,0.159407
339.9774,0.168818
340.116,0.180503
340.2547,0.195308
340.3934,0.214607
340.4628,0.226675
340.5321,0.24099
340.6014,0.258422
340.6707,0.280392
340.7141,0.297498
340.7574,0.318203
340.8008,0.343941
340.8441,0.376489
340.8875,0.418667
340.9308,0.47397
340.9525,0.508166
340.9741,0.547498
340.9958,0.593224
341.0174,0.645937
341.0391,0.707284
341.0608,0.77835
341.0825,0.860603
341.1041,0.955203
341.1258,1.064818
341.1475,1.191004
341.1692,1.335888
341.1908,1.500933
341.2125,1.690074
341.2342,1.905131
341.2559,2.148724
341.2775,2.422181
341.2992,2.730702
341.3208,3.074046
341.3425,3.457905
341.3641,3.881065
341.4017,4.721401
341.4393,5.700347
341.4769,6.821927
341.5144,8.081004
341.552,9.475897
341.5895,10.98313
341.6646,14.24461
341.7455,17.82623
341.8264,21.00605
341.8842,22.74711
341.9477,23.93484
341.9957,24.24632
342,24.24834
342.0132,24.22778
342.0407,24.05602
342.0682,23.71366
342.1038,23.02994
342.1393,22.10143
342.2008,20.01019
342.2623,17.49037
342.3759,12.47018
342.4327,10.10141
342.4895,7.976381
342.5227,6.872645
342.5558,5.881579
342.589,4.998518
342.6221,4.226631
342.6553,3.556307
342.6884,2.984583
342.7216,2.499572
342.7547,2.095007
342.7879,1.75894
342.821,1.484082
342.8542,1.259887
342.8873,1.079548
342.9205,0.934611
342.9536,0.819504
342.9867,0.728204
343.0198,0.656029
343.053,0.59893
343.0861,0.554057
343.1193,0.518547
343.1524,0.490556
343.2187,0.450619
343.2849,0.425169
343.3512,0.40875
343.4175,0.398286
343.55,0.388761
343.7205,0.390912
343.8909,0.404665
344.0614,0.428457
344.2318,0.462321
344.4023,0.507502
344.5727,0.566295
344.7431,0.64251
344.9135,0.742073
345.0366,0.833663
345.1597,0.947673
345.2828,1.092176
345.3444,1.179604
345.4059,1.279722
345.4675,1.395731
345.529,1.531079
345.5906,1.691428
345.6521,1.883494
345.7137,2.118144
345.7752,2.409176
345.8368,2.778371
345.8676,3.00094
345.8983,3.253987
345.9315,3.569064
345.9646,3.933963
345.9978,4.360395
346.0309,4.856747
346.0641,5.438586
346.0972,6.116505
346.1303,6.907696
346.1634,7.829083
346.1966,8.902126
346.2297,10.13903
346.2629,11.56605
346.296,13.19258
346.3292,15.04486
346.3623,17.12536
346.3954,19.44899
346.4285,22.02024
346.4641,25.05972
346.4996,28.36133
346.5706,35.66776
346.7126,51.62916
346.8125,61.71624
346.8624,65.65059
346.9123,68.53625
346.9562,70.06806
347,70.57899
347.0421,70.08888
347.0841,68.66339
347.1262,66.35896
347.1682,63.2859
347.2184,58.77888
347.2685,53.61552
347.3687,42.35776
347.4564,32.72984
347.5003,28.31706
347.5441,24.28909
347.588,20.66935
347.6318,17.49017
347.6757,14.73135
347.7195,12.38335
347.7571,10.66484
347.7947,9.194324
347.8323,7.944806
347.8699,6.889048
347.9075,6.000744
347.9451,5.255346
347.9827,4.630578
348.0202,4.107977
348.0578,3.667649
348.0954,3.296479
348.133,2.982163
348.1705,2.715142
348.2081,2.485616
348.2457,2.28751
348.2833,2.115285
348.3208,1.964847
348.396,1.713695
348.4712,1.513372
348.5464,1.35002
348.6215,1.214542
348.6967,1.10021
348.7719,1.002697
348.8471,0.918696
348.9222,0.845813
349.0726,0.725694
349.2229,0.631562
349.3733,0.556186
349.5236,0.494852
349.674,0.444124
349.8243,0.401697
349.9747,0.365798
350.125,0.335199
350.2754,0.308882
350.4257,0.286119
350.7264,0.248904
351.0271,0.220062
351.3278,0.197341
351.6285,0.179194
351.9291,0.16445
352.3301,0.148759
352.731,0.136614
353.1319,0.127204
353.5328,0.119964
353.9338,0.114514
354.3347,0.110622
354.7356,0.108163
355.1365,0.107125
355.4999,0.107501
355.8632,0.109328
356.2266,0.112953
356.5899,0.118923
356.9533,0.128292
357.135,0.134836
357.3166,0.143084
357.4983,0.15356
357.68,0.167014
357.8617,0.184607
358.0433,0.208191
358.1624,0.228344
358.2814,0.25376
358.4004,0.286662
358.4599,0.307018
358.5194,0.330907
358.5789,0.359419
358.6384,0.394182
358.6979,0.437682
358.7574,0.49376
358.7872,0.528324
358.8169,0.568349
358.8467,0.615347
358.8764,0.670516
358.9062,0.736081
358.9359,0.81383
358.9657,0.906963
358.9954,1.018018
359.0252,1.151469
359.055,1.31131
359.0848,1.502505
359.1145,1.729831
359.1443,2.001042
359.174,2.321097
359.2038,2.699461
359.2335,3.141243
359.2633,3.657289
359.293,4.251927
359.3228,4.936652
359.3525,5.713647
359.3823,6.593888
359.412,7.575695
359.4418,8.667994
359.4715,9.86339
359.5342,12.72034
359.5968,15.95564
359.7221,22.9373
359.791,26.51143
359.8599,29.43034
359.8975,30.62282
359.935,31.47229
360,32.05412
360.0066,32.04745
360.0303,31.92302
360.0539,31.64468
360.1012,30.64219
360.1546,28.86603
360.208,26.53308
360.3052,21.39519
360.4023,15.98232
360.4461,13.68413
360.4898,11.56113
360.5335,9.643616
360.5772,7.951207
360.621,6.486161
360.6647,5.24884
360.6866,4.708612
360.7084,4.220615
360.7303,3.777611
360.7521,3.380712
360.774,3.023211
360.7959,2.703898
360.8178,2.419652
360.8396,2.168492
360.8615,1.945155
360.8833,1.748871
360.9052,1.575159
360.927,1.423113
360.9489,1.289009
360.9707,1.171941
360.9926,1.068878
361.0144,0.978997
361.0363,0.899878
361.0581,0.830822
361.1018,0.716634
361.1456,0.627821
361.1893,0.558315
361.233,0.503027
361.2767,0.45835
361.3204,0.421635
361.3641,0.390957
361.4515,0.342491
361.505,0.318894
361.5584,0.298671
361.6653,0.265613
361.7722,0.239723
361.879,0.218945
361.9859,0.201925
362.0927,0.187807
362.1996,0.175939
362.3064,0.165885
362.5201,0.149895
362.7338,0.137932
362.9475,0.128799
363.1612,0.121699
363.3944,0.115663
363.6275,0.110991
364.0938,0.104641
364.5601,0.101147
365.0263,0.099514
365.6481,0.099504
366.2698,0.101588
366.8915,0.10558
367.5132,0.11154
368.1349,0.119737
368.7566,0.130678
369.3783,0.145174
370,0.164335
370.4,0.180057
370.7999,0.199461
371.1999,0.223594
371.5998,0.253943
371.9998,0.292646
372.1998,0.316198
372.3997,0.343374
372.5997,0.374979
372.7996,0.411948
372.9996,0.455584
373.1995,0.507539
373.3745,0.561648
373.5495,0.625932
373.7245,0.703116
373.8995,0.796929
374.0745,0.912678
374.2495,1.058178
374.337,1.145565
374.4245,1.245259
374.512,1.359806
374.5994,1.49231
374.7119,1.696529
374.8244,1.95089
374.9369,2.275622
374.9932,2.474318
375.0494,2.704577
375.1057,2.975783
375.1619,3.298767
375.2182,3.691121
375.2744,4.174321
375.3307,4.781898
375.3588,5.144462
375.3869,5.555248
375.415,6.022084
375.4431,6.553961
375.4712,7.161132
375.4993,7.855192
375.5275,8.652164
375.5556,9.56088
375.5837,10.59984
375.6118,11.78627
375.64,13.14375
375.6681,14.68216
375.6962,16.42621
375.7243,18.39646
375.7525,20.62165
375.7806,23.1058
375.8087,25.8747
375.8368,28.94458
375.8649,32.32877
375.893,36.03685
375.9492,44.43892
376.0148,55.85617
376.0804,68.77214
376.2116,97.01508
376.2804,111.46
376.3491,124.2976
376.4246,135.4326
376.5,142.5233
376.5707,145.0888
376.6414,143.7394
376.7222,137.9331
376.8029,128.5343
376.8534,121.3188
376.9715,102.0845
377,97.18228
377.0632,86.23536
377.1263,75.43512
377.2143,61.04683
377.2583,54.30176
377.3023,47.93513
377.3495,41.5811
377.3966,35.77625
377.4437,30.53708
377.4908,25.8772
377.5379,21.79321
377.585,18.26575
377.6321,15.2618
377.6792,12.73779
377.7295,10.515
377.7547,9.564872
377.7798,8.715904
377.805,7.953096
377.8301,7.274536
377.8803,6.130419
377.9306,5.222539
377.9808,4.505534
378.0311,3.935293
378.0813,3.480539
378.1316,3.112756
378.1819,2.812188
378.2322,2.563009
378.2824,2.353717
378.3327,2.174647
378.3829,2.019985
378.4834,1.764422
378.584,1.560911
378.6845,1.39474
378.785,1.256275
378.8855,1.139226
378.9861,1.039051
379.0866,0.952662
379.1871,0.877451
379.2876,0.811485
379.4887,0.701471
379.6897,0.613922
379.8908,0.542984
380.0918,0.484755
380.2803,0.439113
380.4688,0.400362
380.6573,0.367184
380.8458,0.338568
381.0343,0.313736
381.2228,0.292079
381.5997,0.256391
381.9767,0.228328
382.3536,0.205908
382.7306,0.187895
383.1075,0.17338
383.7107,0.155817
384.3138,0.143774
384.9169,0.136368
385.52,0.13348
385.8468,0.134037
386.1735,0.136414
386.5002,0.14105
386.8269,0.148732
387.1536,0.160928
387.317,0.169439
387.4803,0.180128
387.6437,0.193661
387.807,0.210987
387.9704,0.233599
388.1337,0.263809
388.2468,0.29117
388.3599,0.326191
388.4165,0.347657
388.473,0.372585
388.5296,0.402061
388.5861,0.437422
388.6427,0.480912
388.6992,0.535511
388.7558,0.606067
388.7841,0.64933
388.8123,0.699158
388.8406,0.757243
388.8689,0.825022
388.8972,0.904386
388.9254,0.997206
388.9537,1.106723
388.9819,1.235133
389.0102,1.386761
389.0384,1.56438
389.0699,1.79939
389.1013,2.078494
389.1327,2.409612
389.1641,2.800556
389.1956,3.261153
389.227,3.796997
389.2584,4.41793
389.2898,5.132128
389.3307,6.214498
389.3715,7.477907
389.4123,8.933294
389.4531,10.58243
389.494,12.4233
389.5348,14.43017
389.6164,18.83236
389.7107,24.14174
389.8049,28.92773
389.8583,31.07884
389.9117,32.64239
389.9523,33.37048
389.9929,33.66646
390,33.67264
390.0072,33.66499
390.0291,33.55568
390.0509,33.31951
390.0946,32.47628
390.1435,30.99239
390.1923,29.02521
390.2749,24.897
390.3574,20.28055
390.44,15.71821
390.4813,13.59774
390.5226,11.63599
390.5639,9.856834
390.6052,8.273016
390.6465,6.887464
390.6877,5.697682
390.7272,4.727059
390.7666,3.911026
390.806,3.231233
390.8454,2.67103
390.8848,2.213785
390.9242,1.843623
390.9636,1.545938
391.003,1.307691
391.0425,1.117125
391.0819,0.965567
391.1213,0.844481
391.1607,0.74734
391.2001,0.668903
391.2395,0.605019
391.2789,0.552448
391.3183,0.508679
391.3615,0.468536
391.4047,0.434759
391.491,0.381053
391.5773,0.339997
391.6636,0.307402
391.75,0.28078
391.8363,0.258655
391.9226,0.239972
392.0089,0.224014
392.1816,0.198282
392.3542,0.178604
392.5269,0.163174
392.6995,0.150843
392.9248,0.138126
393.15,0.128214
393.3752,0.120368
393.6004,0.114098
394.0508,0.104956
394.5012,0.098835
394.9516,0.094756
395.402,0.092204
395.8524,0.090846
396.3028,0.090485
396.9034,0.091387
397.5039,0.093831
398.1045,0.097947
398.705,0.104061
399.3056,0.112763
399.9061,0.125042
400.2064,0.132987
400.5066,0.142467
400.8069,0.153921
401.1071,0.16799
401.3774,0.183562
401.6476,0.202694
401.9179,0.226539
402.1881,0.256725
402.4584,0.295702
402.5935,0.319582
402.7286,0.347245
402.8638,0.379604
402.9989,0.417781
403.134,0.463349
403.2691,0.518407
403.3742,0.569634
403.4793,0.630231
403.5844,0.702769
403.6895,0.790873
403.7946,0.899907
403.8997,1.038347
403.9523,1.122837
404.0048,1.220682
404.0574,1.33603
404.1099,1.473704
404.1512,1.602569
404.1925,1.754756
404.2338,1.936618
404.2751,2.156414
404.3164,2.4248
404.3577,2.755376
404.399,3.165288
404.4402,3.674458
404.4815,4.311307
404.5228,5.10587
404.5641,6.094639
404.6054,7.319322
404.6467,8.826246
404.688,10.66516
404.7293,12.88732
404.7705,15.53585
404.8118,18.66906
404.8531,22.31787
404.8944,26.50575
404.9357,31.23791
404.977,36.49664
405.0183,42.23724
405.1008,54.81861
405.1909,69.23864
405.2809,82.59573
405.3372,89.50957
405.3935,94.74776
405.4425,97.65005
405.4914,98.83699
405.5,98.86262
405.5284,98.5557
405.5567,97.65804
405.6134,94.16136
405.6745,88.12947
405.7355,80.25411
405.8519,62.32195
405.9683,44.13662
406.0238,36.3478
406.0793,29.4272
406.1348,23.46981
406.1625,20.86338
406.1902,18.49606
406.218,16.35238
406.2457,14.43692
406.2734,12.72874
406.3011,11.21366
406.3289,9.872097
406.3566,8.698211
406.3843,7.671455
406.412,6.776772
406.4384,6.033769
406.4647,5.388099
406.4911,4.823866
406.5174,4.335254
406.5438,3.909294
406.5701,3.540888
406.5964,3.220876
406.6227,2.942656
406.6491,2.699548
406.6754,2.488284
406.7281,2.140648
406.7808,1.870998
406.8334,1.658631
406.8861,1.487571
406.9388,1.347432
406.9915,1.230522
407.0441,1.131555
407.0968,1.04626
407.1494,0.972147
407.2547,0.849092
407.3601,0.751048
407.4655,0.671278
407.5709,0.605283
407.6762,0.549986
407.7816,0.503032
407.8869,0.462853
407.9923,0.428116
408.0976,0.397927
408.3083,0.348221
408.519,0.309376
408.7297,0.278522
408.9404,0.253693
409.129,0.235417
409.3175,0.220082
409.6945,0.196046
410.0716,0.178573
410.4486,0.165912
410.8257,0.15689
411.2027,0.15076
411.5798,0.147054
411.9568,0.145528
412.3339,0.146115
412.711,0.14894
413.0881,0.154354
413.4651,0.163036
413.8422,0.176171
414.0307,0.185034
414.2192,0.196002
414.4078,0.209751
414.5963,0.227213
414.7848,0.249807
414.9733,0.279789
415.062,0.297463
415.1507,0.318198
415.2394,0.342834
415.3281,0.37258
415.4335,0.417167
415.4862,0.444653
415.5389,0.476843
415.5916,0.515122
415.6443,0.561414
415.697,0.618407
415.7496,0.689679
415.8023,0.780624
415.855,0.898069
415.8814,0.969658
415.9077,1.051251
415.934,1.14468
415.9603,1.251721
415.9867,1.374851
416.013,1.515333
416.0394,1.676654
416.0657,1.860199
416.0921,2.070175
416.1184,2.307954
416.1447,2.577365
416.171,2.881581
416.196,3.20595
416.2209,3.565867
416.2459,3.966849
416.2708,4.408145
416.3207,5.427008
416.3706,6.635901
416.4205,8.040273
416.4704,9.634698
416.5203,11.40035
416.5702,13.30325
416.6756,17.53155
416.7809,21.46949
416.8419,23.31074
416.9029,24.65075
416.9515,25.28587
417,25.49951
417.0624,25.14134
417.1248,24.10348
417.1932,22.29281
417.2615,19.95701
417.3921,14.79785
417.4574,12.23766
417.5226,9.880223
417.5848,7.895438
417.6159,7.012972
417.6469,6.208895
417.678,5.477753
417.7091,4.820513
417.7402,4.23422
417.7712,3.716548
417.8023,3.259603
417.8334,2.860159
417.8645,2.512991
417.8955,2.213722
417.9266,1.955268
417.9577,1.733715
417.9888,1.544415
418.0198,1.383559
418.0587,1.215134
418.0975,1.078
418.1364,0.965705
418.1752,0.874015
418.2141,0.798463
418.2529,0.736187
418.2918,0.684234
418.3306,0.640776
418.4083,0.572564
418.486,0.522079
418.5637,0.48351
418.6414,0.453278
418.7191,0.429133
418.7968,0.409611
418.9522,0.380759
419.1076,0.361716
419.2629,0.349718
419.4618,0.342078
419.7229,0.342359
419.9839,0.352546
420.245,0.372277
420.506,0.402538
420.7671,0.445869
420.8976,0.473764
421.0281,0.506913
421.1587,0.546538
421.2892,0.594227
421.4197,0.652339
421.5502,0.724256
421.6683,0.805467
421.7864,0.90811
421.9045,1.042286
421.9636,1.126641
422.0226,1.227063
422.0817,1.34956
422.1407,1.502081
422.1998,1.697549
422.2588,1.953491
422.2884,2.112653
422.3179,2.297168
422.3474,2.512558
422.3769,2.764727
422.4064,3.060559
422.4359,3.408011
422.4654,3.816193
422.4949,4.295428
422.526,4.89037
422.5571,5.592201
422.5882,6.417429
422.6192,7.380509
422.6503,8.506466
422.6814,9.811987
422.7125,11.31685
422.7435,13.03456
422.7871,15.85279
422.8306,19.17188
422.8741,23.02868
422.9176,27.43641
422.9611,32.38531
423.0046,37.83794
423.0481,43.72568
423.0916,49.94698
423.2656,75.09322
423.3246,82.25311
423.3836,87.91751
423.4547,92.20655
423.5,93.3018
423.5076,93.35549
423.5287,93.30788
423.5497,92.97517
423.5918,91.47237
423.6509,87.60955
423.71,81.99282
423.7785,73.84455
423.847,64.64056
423.8719,61.17623
423.9092,55.97444
423.9795,46.42948
424,43.76951
424.0052,43.10628
424.0237,40.7877
424.0421,38.54926
424.079,34.28152
424.1436,27.5826
424.1759,24.61736
424.2081,21.91591
424.2632,17.86338
424.3182,14.48824
424.3458,13.0251
424.3733,11.70774
424.4008,10.52073
424.4283,9.454237
424.4559,8.49533
424.4834,7.64159
424.5109,6.880416
424.5384,6.203344
424.5659,5.602417
424.5934,5.070209
424.6209,4.599827
424.6484,4.184907
424.675,3.830826
424.7016,3.518308
424.7282,3.242911
424.7547,3.00144
424.8079,2.60144
424.861,2.294487
424.9142,2.058848
424.9673,1.879007
425.0204,1.741565
425.0735,1.636517
425.1267,1.556095
425.1798,1.494847
425.286,1.41347
425.3923,1.370193
425.4985,1.353714
425.62,1.360526
425.7414,1.3912
425.8629,1.444855
425.9843,1.522375
426.1286,1.649447
426.2728,1.822342
426.417,2.055618
426.4891,2.202355
426.5612,2.375532
426.6334,2.582853
426.7055,2.834554
426.7776,3.146804
426.8497,3.542935
426.9218,4.056638
426.9579,4.372225
426.9939,4.735278
427.03,5.15641
427.066,5.643051
427.1021,6.208931
427.1381,6.863098
427.1704,7.537305
427.2027,8.304697
427.235,9.176058
427.2672,10.15929
427.2995,11.27176
427.3317,12.51776
427.364,13.91592
427.3962,15.46782
427.4285,17.19251
427.4608,19.09363
427.4931,21.17792
427.5253,23.44305
427.5576,25.90603
427.5898,28.55238
427.6543,34.41803
427.7075,39.79603
427.7606,45.60347
427.8137,51.78593
427.8668,58.26052
427.9819,72.78836
428,75.07061
428.0091,76.21214
428.0459,80.76905
428.0827,85.18908
428.1562,93.37184
428.2481,101.7511
428.34,107.1761
428.42,108.8635
428.5,107.3965
428.5697,103.534
428.6393,97.48097
428.7089,89.61472
428.7785,80.45029
428.9413,57.22577
429.0227,46.29618
429.1041,36.61915
429.1745,29.48258
429.2097,26.3627
429.2448,23.54459
429.28,21.0019
429.3151,18.7348
429.3503,16.71314
429.3854,14.92929
429.4206,13.35287
429.4557,11.97242
429.4909,10.75991
429.526,9.70293
429.5612,8.777273
429.5963,7.971451
429.6315,7.265588
429.6666,6.65003
429.7018,6.109104
429.737,5.633981
429.8073,4.846172
429.8776,4.22525
429.9479,3.727643
430.0182,3.322022
430.0885,2.98599
430.1588,2.703503
430.2291,2.462961
430.2994,2.25586
430.3697,2.075858
430.5103,1.778963
430.6509,1.545122
430.7915,1.357101
430.9248,1.210651
431.058,1.088191
431.1912,0.984563
431.3244,0.895991
431.4576,0.819595
431.5908,0.753157
431.8572,0.643672
432.1237,0.557742
432.3901,0.489099
432.6565,0.433355
432.9229,0.387438
433.1894,0.349135
433.4558,0.316886
433.7222,0.289504
433.9886,0.26604
434.2551,0.245678
434.5215,0.227852
435.0543,0.198333
435.5872,0.175125
436.12,0.156555
436.6529,0.141451
437.1857,0.129002
437.837,0.116576
438.4883,0.106613
439.1396,0.098233
439.7908,0.091253
440.4421,0.085375
441.0934,0.080383
442.3959,0.072487
443.6985,0.066605
445.001,0.06218
446.3035,0.058954
447.606,0.056384
449.9743,0.053567
452.3425,0.052672
453.5563,0.05329
454.77,0.05517
455.3769,0.057132
455.9838,0.060482
456.2873,0.063099
456.5907,0.066862
456.8941,0.072579
457.0458,0.076658
457.1975,0.08208
457.3159,0.087793
457.4343,0.095791
457.4935,0.101251
457.5527,0.108302
457.6119,0.117747
457.6711,0.130839
457.7007,0.13932
457.7303,0.149499
457.7599,0.161767
457.7895,0.176597
457.8191,0.194553
457.8487,0.216306
457.8783,0.242645
457.9079,0.27449
457.9375,0.312904
457.9671,0.359098
457.9967,0.41444
458.0263,0.480455
458.0559,0.558819
458.0855,0.651354
458.1151,0.76
458.1447,0.886795
458.1706,1.014275
458.1965,1.158664
458.2224,1.32135
458.2483,1.503658
458.2742,1.706818
458.3001,1.931918
458.326,2.179857
458.3519,2.4513
458.4037,3.065895
458.4555,3.7745
458.5073,4.569254
458.5591,5.434658
458.6627,7.275874
458.7663,9.028545
458.7959,9.467219
458.844,10.08776
458.8921,10.5686
458.9476,10.91904
458.9901,11.02502
459,11.02877
459.0034,11.02822
459.014,11.0205
459.0245,11.00387
459.0456,10.94365
459.095,10.66646
459.1369,10.29132
459.1787,9.803879
459.2624,8.562606
459.346,7.112772
459.4259,5.689245
459.5058,4.356857
459.5458,3.752728
459.5857,3.201572
459.6256,2.705646
459.6655,2.26635
459.7074,1.865227
459.7492,1.52378
459.791,1.236744
459.8119,1.112025
459.8328,0.998901
459.8537,0.89664
459.8746,0.804504
459.8955,0.721755
459.9164,0.647664
459.9373,0.581524
459.9582,0.522648
459.9791,0.470382
460,0.424102
460.0238,0.377945
460.0476,0.337985
460.0714,0.30348
460.0951,0.273869
460.1189,0.248292
460.1427,0.226335
460.1665,0.207506
460.1902,0.191433
460.214,0.177598
460.2378,0.16574
460.2853,0.146857
460.3329,0.132815
460.3804,0.122287
460.428,0.114225
460.4755,0.10795
460.5706,0.098843
460.6657,0.092522
460.7608,0.087807
460.951,0.08113
461.1412,0.076629
461.3314,0.073463
461.5215,0.071198
461.7932,0.069028
462.0649,0.067719
462.6082,0.066772
462.975,0.067081
463.3418,0.068071
463.7086,0.069801
464.0753,0.072459
464.4421,0.07649
464.6255,0.079305
464.8089,0.082924
464.9923,0.087703
465.1757,0.094279
465.2674,0.098608
465.3591,0.104007
465.4508,0.111021
465.5424,0.120637
465.6036,0.129387
465.6647,0.140995
465.7258,0.156831
465.7564,0.166944
465.7869,0.178883
465.8175,0.193109
465.8481,0.210039
465.8787,0.230197
465.9092,0.254107
465.9398,0.282618
465.9703,0.316323
466.0009,0.356315
466.0314,0.403294
466.062,0.458614
466.0926,0.523257
466.1232,0.598402
466.1537,0.684962
466.1843,0.784727
466.2148,0.898233
466.2454,1.027352
466.2759,1.172248
466.3065,1.334722
466.3371,1.514953
466.3677,1.713296
466.3982,1.92903
466.4593,2.41348
466.5204,2.95995
466.7513,5.212221
466.8125,5.711574
466.8736,6.100915
466.9483,6.386853
467,6.445584
467.0682,6.34216
467.1375,6.037244
467.2012,5.605042
467.2648,5.063837
467.5074,2.704751
467.5479,2.354087
467.5883,2.03219
467.6288,1.739961
467.6692,1.479956
467.7097,1.250807
467.7501,1.052592
467.7906,0.882515
467.831,0.739085
467.8715,0.618928
467.9119,0.519844
467.9524,0.438543
467.9928,0.372753
468.0333,0.319667
468.0737,0.277319
468.1142,0.243538
468.1546,0.216813
468.1835,0.201174
468.2124,0.187933
468.2702,0.167181
468.328,0.152136
468.3858,0.141061
468.4436,0.13274
468.5014,0.126337
468.6169,0.117215
468.7325,0.111031
468.8481,0.106576
469.0792,0.100721
469.3104,0.097308
469.5415,0.095369
470.0038,0.094119
470.6973,0.096106
471.3908,0.100946
472.0843,0.108003
472.7777,0.117481
473.4712,0.129862
474.1646,0.146115
474.5114,0.156389
474.8581,0.168539
475.2048,0.183109
475.5515,0.200912
475.9676,0.228329
476.1757,0.245541
476.3837,0.266079
476.5918,0.291201
476.7998,0.322784
477.0078,0.363969
477.1118,0.389797
477.2158,0.420574
477.3372,0.465231
477.4586,0.524
477.5193,0.561206
477.58,0.605747
477.6407,0.659955
477.7013,0.726871
477.762,0.810948
477.8227,0.917661
477.8834,1.054163
477.944,1.229042
477.9744,1.334576
478.0047,1.453557
478.0351,1.588356
478.0654,1.739732
478.0958,1.910381
478.1261,2.100874
478.1564,2.313399
478.1867,2.549531
478.2387,3.013846
478.2907,3.557569
478.3427,4.183702
478.3947,4.891465
478.4467,5.675328
478.4987,6.524236
478.6027,8.343309
478.7183,10.33527
478.7761,11.2115
478.8338,11.94431
478.9169,12.66895
479,12.9271
479.0481,12.8484
479.0962,12.60543
479.1443,12.20895
479.1923,11.6772
479.3006,10.09762
479.4089,8.239586
479.5353,6.104233
479.5985,5.151711
479.6616,4.311166
479.7248,3.590071
479.788,2.989895
479.8512,2.503166
479.8828,2.298626
479.9143,2.118146
479.9459,1.958701
479.9775,1.818994
480.0407,1.591333
480.1039,1.421027
480.167,1.295836
480.2302,1.205033
480.2934,1.140584
480.3566,1.096112
480.4197,1.066875
480.4919,1.047577
480.5641,1.039919
480.6634,1.044027
480.7627,1.06165
480.9613,1.130041
481.1599,1.239243
481.3584,1.392489
481.4577,1.488574
481.557,1.600057
481.6563,1.729498
481.7555,1.880062
481.8548,2.0564
481.9541,2.264118
482.0534,2.510899
482.1526,2.80686
482.2519,3.167038
482.3512,3.611522
482.4009,3.874318
482.4505,4.169447
482.5001,4.50308
482.5497,4.882028
482.5994,5.315373
482.649,5.811099
482.6987,6.382732
482.7483,7.04143
482.798,7.805446
482.8476,8.6894
482.8972,9.71443
482.9468,10.90201
483.0055,12.54867
483.0642,14.49306
483.1229,16.77145
483.1815,19.40964
483.2402,22.43709
483.2988,25.84863
483.3575,29.64054
483.4161,33.75936
483.5136,41.1496
483.611,48.74969
483.7084,55.87458
483.8058,61.73476
483.9029,65.58321
483.9515,66.58625
484,66.91852
484.0951,65.60771
484.1902,61.8826
484.2853,56.22914
484.3804,49.33039
484.5911,33.16795
484.6965,26.0799
484.7492,22.97176
484.8018,20.18206
484.8432,18.20577
484.8846,16.41733
484.926,14.80826
484.9674,13.36778
485.0088,12.08358
485.0502,10.94249
485.0916,9.931078
485.1329,9.038132
485.1743,8.24664
485.2157,7.54696
485.2571,6.928078
485.2985,6.379991
485.3813,5.461339
485.464,4.731861
485.5468,4.144063
485.6296,3.664723
485.7124,3.268573
485.7951,2.937377
485.8779,2.656594
485.9607,2.416404
486.0435,2.209065
486.1262,2.028851
486.2918,1.731301
486.4573,1.497626
486.6229,1.310315
486.7884,1.157902
486.9465,1.037191
487.1045,0.935546
487.2625,0.849018
487.4205,0.774709
487.5786,0.710388
487.7366,0.654444
488.0526,0.562474
488.3687,0.490863
488.6847,0.434457
489.0008,0.389795
489.3168,0.354749
489.5576,0.33378
489.7984,0.317727
490.0392,0.307232
490.28,0.304512
490.4155,0.309039
490.4832,0.314366
490.5509,0.323063
490.6187,0.336938
490.6864,0.358778
490.7203,0.374002
490.7541,0.392959
490.788,0.416649
490.8218,0.445995
490.8557,0.482436
490.8896,0.527383
490.9235,0.582564
490.9573,0.649736
490.9912,0.731516
491.025,0.829877
491.0589,0.948087
